acpi 1.7-3
acpid 2.0.34-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adobe-source-sans-fonts 3.046-1
alacritty 0.11.0-2
alsa-firmware 1.2.4-2
alsa-utils 1.2.8-1
ark 22.12.2-1
autoconf 2.71-1
autojump 22.5.3-9
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
b43-fwcutter 019-4
bash 5.1.016-2
bash-completion 2.11-3
bat 0.22.1-1
bison 3.8.2-4
bluedevil 1:5.26.5-1
breeze-gtk 5.26.5-1
btrfs-progs 6.1.3-1
bzip2 1.0.8-5
cblas 3.11.0-2
cmake 3.25.2-1
coreutils 9.1-3
cpupower 6.1-1
cronie 1.6.1-1
cryptsetup 2.6.1-1
device-mapper 2.03.18-5
dhclient 4.4.3.P1-1
dhcpcd 9.4.1-1
diffutils 3.9-1
discord 0.0.25-1
dmidecode 3.4-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.89-1
docker 1:23.0.1-1
docker-compose 2.16.0-1
dolphin 22.12.2-1
dolphin-plugins 22.12.2-1
dosfstools 4.2-3
downgrade 11.2.1-1
e2fsprogs 1.47.0-1
ecryptfs-utils 111-7
efibootmgr 18-1
elisa 22.12.2-1
exfatprogs 1.2.0-1
f2fs-tools 1.15.0-2
ffmpeg 2:5.1.2-1
ffmpegthumbs 22.12.2-1
file 5.44-2
filelight 22.12.2-1
filesystem 2023.01.30-1
findutils 4.9.0-2
firefox 110.0-1
flex 2.6.4-4
fwupd 1.8.10-1
gawk 5.2.1-1
gcc-fortran 12.2.1-2
gcc-libs 12.2.1-2
gdb 12.1-2
gettext 0.21.1-2
ghq 1.3.0-1
glibc 2.37-2
glibc-locales 2.36-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnu-netcat 0.7.1-9
gparted 1.4.0-1
grep 3.8-3
grub 2.06.r261.g2f4430cc0-3
grub-btrfs 4.12-2
grub-theme-manjaro 20.2-13
gst-libav 1.22.0-3
gst-plugins-bad 1.22.0-3
gst-plugins-base 1.22.0-3
gst-plugins-good 1.22.0-3
gst-plugins-ugly 1.22.0-3
gtk3 1:3.24.36-1
gwenview 22.12.2-1
gzip 1.12-2
hashcat 1:6.2.6-1
haveged 1.9.18-1
hdf5 1.12.2-1
htop 3.2.2-1
inetutils 2.3-1
intel-ucode 20221108-1
inxi 3.3.25.1-1
iproute2 6.1.0-5
iputils 20221126-1
jfsutils 1.1.15-8
kaccounts-providers 22.12.2-1
kamera 22.12.2-1
kate 22.12.2-1
kazam 1.4.5-9
kcalc 22.12.2-1
kde-gtk-config 5.26.5-1
kdeconnect 22.12.2-1
kdegraphics-thumbnailers 22.12.2-1
kdenetwork-filesharing 22.12.2-1
kdeplasma-addons 5.26.5-1
keditbookmarks 22.12.2-1
kfind 22.12.2-1
kgamma5 5.26.5-1
khelpcenter 22.12.2-1
khotkeys 5.26.5-1
kimageformats 5.103.0-1
kinfocenter 5.26.5-1
kinit 5.103.0-1
kio-extras 22.12.2-1
kmenuedit 5.26.5-1
konsole 22.12.2-1
kscreen 5.26.5-1
kscreenlocker 5.26.5-1
ksshaskpass 5.26.5-1
ksysguard 5.22.0-1
ksystemlog 22.12.2-1
kubectl 1.26.1-1
kwallet-pam 5.26.5-1
kwalletmanager 22.12.2-1
kwayland-integration 5.26.5-1
kwin 5.26.5-2
kwrited 5.26.5-1
lapack 3.11.0-2
less 1:608-2
lib32-libcanberra 1:0.30+r2+gc0620e4-2
lib32-libva-intel-driver 2.4.1-1
lib32-libva-mesa-driver 22.3.5-1
lib32-libva-vdpau-driver 0.7.4-7
